seed,task_type,host_count,shrink,algo,active,migr,time
0,-4,10,False,Initial,1.0,0.0,1.6689300537109375e-06
0,-4,10,False,Initial + migopt,1.0,0.0,0.03686356544494629
0,-4,10,False,FirstFitDecreasing,0.5,0.8486486486486486,0.001216888427734375
0,-4,10,False,FirstFitDecreasing + migopt,0.5,0.5675675675675675,0.023283720016479492
0,-4,10,False,Sercon,0.6,0.1783783783783784,0.027018070220947266
0,-4,10,False,Sercon + migopt,0.6,0.1783783783783784,0.0631113052368164
0,-4,10,False,PyVPSolver,0.5,0.8486486486486486,0.7509405612945557
0,-4,10,False,PyVPSolver + migopt,0.5,0.43783783783783786,0.6983842849731445
1,-4,10,False,Initial,1.0,0.0,1.430511474609375e-06
1,-4,10,False,Initial + migopt,1.0,0.0,0.02699422836303711
1,-4,10,False,FirstFitDecreasing,0.5,0.8486486486486486,0.001146554946899414
1,-4,10,False,FirstFitDecreasing + migopt,0.5,0.5675675675675675,0.008060455322265625
1,-4,10,False,Sercon,0.6,0.1783783783783784,0.0029320716857910156
1,-4,10,False,Sercon + migopt,0.6,0.1783783783783784,0.019361495971679688
1,-4,10,False,PyVPSolver,0.5,0.8486486486486486,0.2762327194213867
1,-4,10,False,PyVPSolver + migopt,0.5,0.43783783783783786,0.2902359962463379
2,-4,10,False,Initial,1.0,0.0,7.152557373046875e-07
2,-4,10,False,Initial + migopt,1.0,0.0,0.033078908920288086
2,-4,10,False,FirstFitDecreasing,0.5,0.8486486486486486,0.0009894371032714844
2,-4,10,False,FirstFitDecreasing + migopt,0.5,0.5675675675675675,0.023227691650390625
2,-4,10,False,Sercon,0.6,0.1783783783783784,0.0026688575744628906
2,-4,10,False,Sercon + migopt,0.6,0.1783783783783784,0.012824296951293945
2,-4,10,False,PyVPSolver,0.5,0.8486486486486486,0.3972513675689697
2,-4,10,False,PyVPSolver + migopt,0.5,0.43783783783783786,0.6990129947662354
3,-4,10,False,Initial,1.0,0.0,1.6689300537109375e-06
3,-4,10,False,Initial + migopt,1.0,0.0,0.026773452758789062
3,-4,10,False,FirstFitDecreasing,0.5,0.8486486486486486,0.0010578632354736328
3,-4,10,False,FirstFitDecreasing + migopt,0.5,0.5675675675675675,0.008072614669799805
3,-4,10,False,Sercon,0.6,0.1783783783783784,0.0030660629272460938
3,-4,10,False,Sercon + migopt,0.6,0.1783783783783784,0.019153594970703125
3,-4,10,False,PyVPSolver,0.5,0.8486486486486486,0.4645960330963135
3,-4,10,False,PyVPSolver + migopt,0.5,0.43783783783783786,0.39229512214660645
4,-4,10,False,Initial,1.0,0.0,1.1920928955078125e-06
4,-4,10,False,Initial + migopt,1.0,0.0,0.012593984603881836
4,-4,10,False,FirstFitDecreasing,0.5,0.8486486486486486,0.000986337661743164
4,-4,10,False,FirstFitDecreasing + migopt,0.5,0.5675675675675675,0.01004934310913086
4,-4,10,False,Sercon,0.6,0.1783783783783784,0.004112720489501953
4,-4,10,False,Sercon + migopt,0.6,0.1783783783783784,0.0220947265625
4,-4,10,False,PyVPSolver,0.5,0.8486486486486486,0.46555018424987793
4,-4,10,False,PyVPSolver + migopt,0.5,0.43783783783783786,0.44628071784973145
0,-4,20,False,Initial,1.0,0.0,1.430511474609375e-06
0,-4,20,False,Initial + migopt,1.0,0.0,0.07645058631896973
0,-4,20,False,FirstFitDecreasing,0.5,0.9945945945945946,0.003110170364379883
